Date,Hour,Temperature,Rainfall
14.12.2023,02,11,0
15.12.2023,02,11,0
16.12.2023,02,11,0
17.12.2023,02,11,0
18.12.2023,02,10,0
19.12.2023,02,11,0
20.12.2023,02,11,0
21.12.2023,02,10,0
22.12.2023,02,12,0
23.12.2023,02,12,0
24.12.2023,02,10,0
25.12.2023,02,11,0
26.12.2023,02,11,0
27.12.2023,02,12,0
28.12.2023,02,11,0
29.12.2023,02,11,0
30.12.2023,02,11,0
31.12.2023,02,11,0
01.01.2023,03,14,0
02.01.2023,03,14,0
03.01.2023,03,14,0
04.01.2023,03,12,0
05.01.2023,03,11,0
06.01.2023,03,11,0
07.01.2023,03,11,0
08.01.2023,03,13,0
09.01.2023,03,12,0
10.01.2023,03,11,0
11.01.2023,03,11,0
12.01.2023,03,12,0
13.01.2023,03,11,0
14.01.2023,03,11,0
18.01.2023,03,9,0
19.01.2023,03,6,0
20.01.2023,03,9,0
21.01.2023,03,8,0
22.01.2023,03,5,0
23.01.2023,03,6,0
24.01.2023,03,7,0
25.01.2023,03,7,0
26.01.2023,03,7,0
27.01.2023,03,6,0
28.01.2023,03,7,0
29.01.2023,03,7,0
30.01.2023,03,6,0
31.01.2023,03,6,0
01.02.2023,03,8,0
02.02.2023,03,8,0
03.02.2023,03,9,0
04.02.2023,03,10,0
05.02.2023,03,11,0
06.02.2023,03,11,0
07.02.2023,03,9,0
08.02.2023,03,10,0.1
09.02.2023,03,8,0
10.02.2023,03,7,0
11.02.2023,03,8,0
12.02.2023,03,8,0
13.02.2023,03,8,0
14.02.2023,03,9,0
15.02.2023,03,10,0
16.02.2023,03,10,0
17.02.2023,03,10,0
18.02.2023,03,12,0
19.02.2023,03,12,0
20.02.2023,03,13,0
21.02.2023,03,12,0
22.02.2023,03,12,0
23.02.2023,03,12,0
24.02.2023,03,12,0.2
25.02.2023,03,11,0
26.02.2023,03,10,0
27.02.2023,03,3,0.4
28.02.2023,03,6,0.1
01.03.2023,03,7,0
02.03.2023,03,9,0
03.03.2023,03,9,0
04.03.2023,03,10,0
05.03.2023,03,10,0
06.03.2023,03,11,0
07.03.2023,03,11,0
08.03.2023,03,12,0
09.03.2023,03,17,0
10.03.2023,03,15,0
11.03.2023,03,15,0
12.03.2023,03,16,0
13.03.2023,03,15,0
14.03.2023,03,15,0
15.03.2023,03,13,0
16.03.2023,03,13,0
17.03.2023,03,13,0
18.03.2023,03,12,0
19.03.2023,03,12,0.4
20.03.2023,03,14,0
21.03.2023,03,13,0
22.03.2023,03,13,0
23.03.2023,03,14,0
24.03.2023,03,14,0
25.03.2023,03,14,0
26.03.2023,03,14,0
27.03.2023,03,15,0
28.03.2023,03,13,0
29.03.2023,03,14,0
30.03.2023,03,14,0
31.03.2023,03,15,0
01.04.2023,03,14,0
02.04.2023,03,12,0.2
03.04.2023,03,14,0
04.04.2023,03,13,0
05.04.2023,03,12,0
06.04.2023,03,13,0
07.04.2023,03,13,0
08.04.2023,03,14,0
09.04.2023,03,14,0
10.04.2023,03,15,0
11.04.2023,03,15,0
12.04.2023,03,15,0
13.04.2023,03,13,0.1
14.04.2023,03,12,0
15.04.2023,03,15,0
16.04.2023,03,15,0
17.04.2023,03,13,0
18.04.2023,03,14,0.1
19.04.2023,03,14,0
20.04.2023,03,15,0
21.04.2023,03,15,0
22.04.2023,03,16,0
23.04.2023,03,15,0
24.04.2023,03,15,0
25.04.2023,03,15,0
26.04.2023,03,16,0
27.04.2023,03,17,0
28.04.2023,03,17,0
29.04.2023,03,19,0
30.04.2023,03,18,0
01.05.2023,03,17,0
02.05.2023,03,16,0
03.05.2023,03,18,0
04.05.2023,03,18,0
05.05.2023,03,18,0
06.05.2023,03,18,0
07.05.2023,03,18,0
08.05.2023,03,18,0
09.05.2023,03,19,0
10.05.2023,03,17,0
11.05.2023,03,16,0
12.05.2023,03,15,0.2
13.05.2023,03,13,0
14.05.2023,03,16,0
15.05.2023,03,17,0
16.05.2023,03,18,0
17.05.2023,03,17,0.1
18.05.2023,03,17,0
19.05.2023,03,16,0.1
20.05.2023,03,16,0.1
21.05.2023,03,17,0
22.05.2023,03,18,0
23.05.2023,03,17,0
24.05.2023,03,18,0
25.05.2023,03,17,0.7
26.05.2023,03,16,0
27.05.2023,03,19,0
28.05.2023,03,20,0
29.05.2023,03,20,0
30.05.2023,03,19,0
31.05.2023,03,19,0
01.06.2023,03,20,0
02.06.2023,03,20,0
03.06.2023,03,20,0
04.06.2023,03,20,0
05.06.2023,03,20,0
06.06.2023,03,22,0
07.06.2023,03,21,0
08.06.2023,03,21,0
09.06.2023,03,21,0
10.06.2023,03,23,0
11.06.2023,03,23,0
12.06.2023,03,22,0
13.06.2023,03,22,0
14.06.2023,03,21,0
15.06.2023,03,23,0
16.06.2023,03,23,0
17.06.2023,03,24,0
18.06.2023,03,25,0
19.06.2023,03,23,0
20.06.2023,03,22,0
21.06.2023,03,23,0
22.06.2023,03,25,0
23.06.2023,03,24,0
24.06.2023,03,24,0
25.06.2023,03,25,0
26.06.2023,03,26,0
27.06.2023,03,24,0.1
28.06.2023,03,24,0
29.06.2023,03,25,0
30.06.2023,03,22,3.7
01.07.2023,03,22,0
02.07.2023,03,24,0
03.07.2023,03,24,0
04.07.2023,03,25,0
05.07.2023,03,25,0
06.07.2023,03,23,0
07.07.2023,03,24,0
08.07.2023,03,25,0
09.07.2023,03,25,0
10.07.2023,03,24,0
11.07.2023,03,25,0
12.07.2023,03,25,0
13.07.2023,03,25,0
14.07.2023,03,24,0
15.07.2023,03,26,0
16.07.2023,03,24,0
17.07.2023,03,25,0
18.07.2023,03,25,0
19.07.2023,03,26,0
20.07.2023,03,26,0
21.07.2023,03,25,0
22.07.2023,03,25,0
23.07.2023,03,25,0
24.07.2023,03,26,0
25.07.2023,03,26,0
26.07.2023,03,24,0
27.07.2023,03,24,0
28.07.2023,03,26,0
01.08.2023,03,26,0
02.08.2023,03,25,0
03.08.2023,03,26,0
04.08.2023,03,24,1.1
05.08.2023,03,23,0
06.08.2023,03,24,0
07.08.2023,03,24,0
08.08.2023,03,24,0
09.08.2023,03,25,0
10.08.2023,03,26,0
11.08.2023,03,27,0
12.08.2023,03,28,0
13.08.2023,03,25,0
14.08.2023,03,26,0
15.08.2023,03,26,0
16.08.2023,03,26,0
17.08.2023,03,26,0
18.08.2023,03,26,0
19.08.2023,03,25,0
20.08.2023,03,27,0
21.08.2023,03,30,0
22.08.2023,03,29,0
23.08.2023,03,30,0
24.08.2023,03,30,0
25.08.2023,03,29,0
26.08.2023,03,27,0
27.08.2023,03,26,0
28.08.2023,03,20,0
29.08.2023,03,24,0
30.08.2023,03,23,0
31.08.2023,03,23,0
01.09.2023,03,24,0
02.09.2023,03,25,0
05.09.2023,03,25,0
06.09.2023,03,24,0
07.09.2023,03,23,0
08.09.2023,03,24,0
09.09.2023,03,23,0
10.09.2023,03,24,0
11.09.2023,03,24,0.1
12.09.2023,03,25,0
13.09.2023,03,24,0.4
14.09.2023,03,24,0
15.09.2023,03,24,0
16.09.2023,03,22,0.2
17.09.2023,03,24,0
18.09.2023,03,24,1.2
19.09.2023,03,25,0
20.09.2023,03,23,0
21.09.2023,03,22,0
22.09.2023,03,23,0.3
23.09.2023,03,20,1
24.09.2023,03,22,0
25.09.2023,03,22,0
26.09.2023,03,22,0
27.09.2023,03,23,0
28.09.2023,03,23,0
29.09.2023,03,23,0
30.09.2023,03,25,0
01.10.2023,03,25,0
02.10.2023,03,23,0
03.10.2023,03,23,0
04.10.2023,03,23,0
05.10.2023,03,23,0
06.10.2023,03,23,0
07.10.2023,03,23,0
08.10.2023,03,23,0
09.10.2023,03,23,0
10.10.2023,03,23,0
11.10.2023,03,22,0
12.10.2023,03,22,0
13.10.2023,03,22,0
14.10.2023,03,22,0
15.10.2023,03,22,0
16.10.2023,03,21,0
17.10.2023,03,19,0
18.10.2023,03,22,0
19.10.2023,03,23,0
20.10.2023,03,19,0.6
21.10.2023,03,19,0
22.10.2023,03,17,0
23.10.2023,03,21,0.2
24.10.2023,03,21,0.1
25.10.2023,03,19,0
26.10.2023,03,21,0
27.10.2023,03,20,0
28.10.2023,03,19,0
29.10.2023,03,20,0
30.10.2023,03,19,0
31.10.2023,03,17,0
01.11.2023,03,17,0
02.11.2023,03,19,0
03.11.2023,03,13,0
04.11.2023,03,15,0
05.11.2023,03,17,0
06.11.2023,03,16,0
07.11.2023,03,14,0.3
08.11.2023,03,13,0
09.11.2023,03,15,0
10.11.2023,03,15,0
11.11.2023,03,15,0
12.11.2023,03,18,0
13.11.2023,03,17,0
14.11.2023,03,18,0
15.11.2023,03,18,0
16.11.2023,03,17,0
17.11.2023,03,17,0
18.11.2023,03,16,0
19.11.2023,03,16,0
20.11.2023,03,16,0
21.11.2023,03,16,0
22.11.2023,03,13,0
23.11.2023,03,12,0
24.11.2023,03,12,0
25.11.2023,03,14,0
26.11.2023,03,12,0.1
27.11.2023,03,12,0
28.11.2023,03,13,0
29.11.2023,03,14,0.1
30.11.2023,03,15,0
01.12.2023,03,17,0
02.12.2023,03,11,0.1
03.12.2023,03,11,0.1
04.12.2023,03,11,0
05.12.2023,03,11,0
06.12.2023,03,11,0
07.12.2023,03,10,0
08.12.2023,03,13,0
09.12.2023,03,11,0
10.12.2023,03,13,0
11.12.2023,03,14,0
12.12.2023,03,14,0
13.12.2023,03,16,0
14.12.2023,03,11,0
15.12.2023,03,10,0
16.12.2023,03,11,0
17.12.2023,03,10,0
18.12.2023,03,10,0
19.12.2023,03,11,0
20.12.2023,03,11,0
21.12.2023,03,10,0
22.12.2023,03,12,0
23.12.2023,03,12,0
24.12.2023,03,10,0
25.12.2023,03,10,0
26.12.2023,03,11,0
27.12.2023,03,12,0
28.12.2023,03,11,0
29.12.2023,03,11,0
30.12.2023,03,11,0
31.12.2023,03,11,0
01.01.2023,04,14,0
02.01.2023,04,14,0
03.01.2023,04,13,0
04.01.2023,04,12,0
05.01.2023,04,11,0
06.01.2023,04,11,0
07.01.2023,04,11,0
08.01.2023,04,13,0
09.01.2023,04,13,0
10.01.2023,04,11,0
11.01.2023,04,10,0
12.01.2023,04,12,0
13.01.2023,04,10,0
14.01.2023,04,11,0
18.01.2023,04,9,0
19.01.2023,04,6,0
20.01.2023,04,8,0
21.01.2023,04,7,0
22.01.2023,04,5,0
23.01.2023,04,5,0
24.01.2023,04,6,0
25.01.2023,04,7,0
26.01.2023,04,7,0
27.01.2023,04,6,0
28.01.2023,04,6,0
29.01.2023,04,7,0
30.01.2023,04,6,0
31.01.2023,04,6,0
01.02.2023,04,8,0
02.02.2023,04,8,0
03.02.2023,04,9,0
04.02.2023,04,10,0
05.02.2023,04,10,0
06.02.2023,04,11,0.1
07.02.2023,04,8,0
08.02.2023,04,10,0.1
09.02.2023,04,8,0
10.02.2023,04,7,0
11.02.2023,04,7,0
12.02.2023,04,8,0
13.02.2023,04,8,0
14.02.2023,04,9,0
15.02.2023,04,9,0
16.02.2023,04,10,0
17.02.2023,04,10,0
18.02.2023,04,11,0
19.02.2023,04,12,0
20.02.2023,04,13,0
21.02.2023,04,12,0
22.02.2023,04,12,0
23.02.2023,04,12,0
24.02.2023,04,13,0.1
25.02.2023,04,11,0
26.02.2023,04,10,0
27.02.2023,04,3,0.3
28.02.2023,04,6,0
01.03.2023,04,7,0
02.03.2023,04,9,0
03.03.2023,04,9,0
04.03.2023,04,9,0
05.03.2023,04,9,0
06.03.2023,04,11,0
07.03.2023,04,11,0
08.03.2023,04,12,0
09.03.2023,04,16,0
10.03.2023,04,14,0
11.03.2023,04,15,0
12.03.2023,04,15,0
13.03.2023,04,15,0
14.03.2023,04,15,0
15.03.2023,04,13,0
16.03.2023,04,12,0
17.03.2023,04,12,0
18.03.2023,04,12,0
19.03.2023,04,12,0.2
20.03.2023,04,13,0
21.03.2023,04,13,0
22.03.2023,04,13,0
23.03.2023,04,14,0
24.03.2023,04,14,0
25.03.2023,04,13,0
26.03.2023,04,14,0
27.03.2023,04,14,0
28.03.2023,04,13,0
29.03.2023,04,13,0
30.03.2023,04,14,0
31.03.2023,04,15,0
01.04.2023,04,14,0
02.04.2023,04,12,0.1
03.04.2023,04,13,0
04.04.2023,04,13,0
05.04.2023,04,12,0
06.04.2023,04,13,0
07.04.2023,04,13,0
08.04.2023,04,14,0
09.04.2023,04,13,0
10.04.2023,04,15,0
11.04.2023,04,15,0
12.04.2023,04,15,0
13.04.2023,04,13,0.3
14.04.2023,04,11,0
15.04.2023,04,14,0
16.04.2023,04,14,0
17.04.2023,04,13,0
18.04.2023,04,14,0
19.04.2023,04,14,0
20.04.2023,04,15,0
21.04.2023,04,15,0
22.04.2023,04,16,0
23.04.2023,04,15,0
24.04.2023,04,15,0
25.04.2023,04,15,0
26.04.2023,04,16,0
27.04.2023,04,17,0
28.04.2023,04,17,0
29.04.2023,04,19,0
30.04.2023,04,18,0
01.05.2023,04,17,0
02.05.2023,04,16,0
03.05.2023,04,17,0
04.05.2023,04,17,0
05.05.2023,04,18,0
06.05.2023,04,18,0
07.05.2023,04,19,0
08.05.2023,04,18,0
09.05.2023,04,19,0
10.05.2023,04,17,0
11.05.2023,04,16,0
12.05.2023,04,14,0
13.05.2023,04,13,0
14.05.2023,04,16,0
15.05.2023,04,17,0
16.05.2023,04,17,0
17.05.2023,04,17,0.3
18.05.2023,04,16,0.1
19.05.2023,04,16,0
20.05.2023,04,16,0
21.05.2023,04,17,0
22.05.2023,04,17,0
23.05.2023,04,17,0
24.05.2023,04,18,0
25.05.2023,04,17,0.7
26.05.2023,04,16,0
27.05.2023,04,19,0
28.05.2023,04,20,0
29.05.2023,04,20,0
30.05.2023,04,19,0
31.05.2023,04,19,0
01.06.2023,04,20,0
02.06.2023,04,19,0
03.06.2023,04,20,0
04.06.2023,04,19,0
05.06.2023,04,20,0
06.06.2023,04,21,0
07.06.2023,04,21,0
08.06.2023,04,21,0
09.06.2023,04,21,0
10.06.2023,04,22,0
11.06.2023,04,23,0
12.06.2023,04,22,0
13.06.2023,04,22,0
14.06.2023,04,21,0
15.06.2023,04,23,0
16.06.2023,04,23,0
17.06.2023,04,24,0
18.06.2023,04,25,0
19.06.2023,04,23,0
20.06.2023,04,22,0
21.06.2023,04,23,0
22.06.2023,04,25,0
23.06.2023,04,24,0
24.06.2023,04,24,0
25.06.2023,04,25,0
26.06.2023,04,26,0
27.06.2023,04,23,0
28.06.2023,04,24,0
29.06.2023,04,25,0
30.06.2023,04,20,2.8
01.07.2023,04,21,0
02.07.2023,04,23,0
03.07.2023,04,23,0
04.07.2023,04,24,0
05.07.2023,04,24,0
06.07.2023,04,23,0
07.07.2023,04,24,0
08.07.2023,04,24,0
09.07.2023,04,24,0
10.07.2023,04,24,0
11.07.2023,04,25,0
12.07.2023,04,25,0
13.07.2023,04,25,0
14.07.2023,04,25,0
15.07.2023,04,25,0
16.07.2023,04,24,0
17.07.2023,04,24,0
18.07.2023,04,25,0
19.07.2023,04,26,0
20.07.2023,04,26,0
21.07.2023,04,25,0.1
22.07.2023,04,25,0
23.07.2023,04,25,0
24.07.2023,04,26,0
25.07.2023,04,26,0
26.07.2023,04,24,0
27.07.2023,04,24,0
28.07.2023,04,25,0
01.08.2023,04,26,0
02.08.2023,04,25,0
03.08.2023,04,26,0
04.08.2023,04,24,1.6
05.08.2023,04,23,0
06.08.2023,04,23,0
07.08.2023,04,24,0.1
08.08.2023,04,24,0
09.08.2023,04,25,0
10.08.2023,04,25,0
11.08.2023,04,27,0
12.08.2023,04,27,0
13.08.2023,04,25,0
14.08.2023,04,26,0
15.08.2023,04,26,0
16.08.2023,04,26,0
17.08.2023,04,25,0
18.08.2023,04,25,0
19.08.2023,04,25,0
20.08.2023,04,27,0
21.08.2023,04,29,0
22.08.2023,04,28,0
23.08.2023,04,30,0
24.08.2023,04,29,0
25.08.2023,04,28,0
26.08.2023,04,26,0
27.08.2023,04,25,1.1
28.08.2023,04,20,0
29.08.2023,04,24,0
30.08.2023,04,23,0
31.08.2023,04,23,0
01.09.2023,04,24,0
02.09.2023,04,24,0
05.09.2023,04,25,0
06.09.2023,04,24,0
07.09.2023,04,23,0
08.09.2023,04,23,0
09.09.2023,04,23,0
10.09.2023,04,23,0
11.09.2023,04,23,0.4
12.09.2023,04,24,0
13.09.2023,04,24,0.1
14.09.2023,04,24,0
15.09.2023,04,24,0
16.09.2023,04,22,0.2
17.09.2023,04,24,0
18.09.2023,04,24,2.2
19.09.2023,04,24,0
20.09.2023,04,22,0.5
21.09.2023,04,22,0
22.09.2023,04,22,0.1
23.09.2023,04,20,0.9
24.09.2023,04,21,0
25.09.2023,04,22,0
26.09.2023,04,22,0
27.09.2023,04,23,0
28.09.2023,04,23,0
29.09.2023,04,23,0
30.09.2023,04,25,0
01.10.2023,04,25,0
02.10.2023,04,23,0
03.10.2023,04,23,0
04.10.2023,04,23,0
05.10.2023,04,23,0
06.10.2023,04,23,0
07.10.2023,04,23,0
08.10.2023,04,23,0
09.10.2023,04,23,0
10.10.2023,04,23,0
11.10.2023,04,22,0
12.10.2023,04,22,0
13.10.2023,04,22,0
14.10.2023,04,22,0
15.10.2023,04,22,0
16.10.2023,04,21,0
17.10.2023,04,19,0
18.10.2023,04,22,0
19.10.2023,04,23,0
20.10.2023,04,17,1.4
21.10.2023,04,18,0
22.10.2023,04,17,0
23.10.2023,04,21,0.1
24.10.2023,04,20,0.2
25.10.2023,04,18,0
26.10.2023,04,21,0
27.10.2023,04,20,0
28.10.2023,04,19,0
29.10.2023,04,20,0
30.10.2023,04,19,0
31.10.2023,04,16,0
01.11.2023,04,17,0
02.11.2023,04,19,0
03.11.2023,04,13,0
04.11.2023,04,15,0
05.11.2023,04,17,0
06.11.2023,04,16,0
07.11.2023,04,14,0.3
08.11.2023,04,12,0
09.11.2023,04,15,0
10.11.2023,04,15,0
11.11.2023,04,15,0
12.11.2023,04,18,0
13.11.2023,04,17,0
14.11.2023,04,18,0
15.11.2023,04,18,0
16.11.2023,04,17,0
17.11.2023,04,17,0
18.11.2023,04,16,0
19.11.2023,04,16,0
20.11.2023,04,16,0
21.11.2023,04,15,0.3
22.11.2023,04,13,0
23.11.2023,04,12,0
24.11.2023,04,12,0
25.11.2023,04,14,0
26.11.2023,04,12,0.3
27.11.2023,04,12,0
28.11.2023,04,12,0
29.11.2023,04,14,0.1
30.11.2023,04,15,0
01.12.2023,04,17,0
02.12.2023,04,11,0
03.12.2023,04,10,0.1
04.12.2023,04,11,0
05.12.2023,04,11,0
06.12.2023,04,11,0
07.12.2023,04,10,0
08.12.2023,04,13,0
09.12.2023,04,11,0
10.12.2023,04,13,0
11.12.2023,04,14,0
12.12.2023,04,14,0
13.12.2023,04,16,0
14.12.2023,04,11,0
15.12.2023,04,10,0
16.12.2023,04,11,0
17.12.2023,04,10,0
18.12.2023,04,10,0
19.12.2023,04,11,0
20.12.2023,04,11,0
21.12.2023,04,9,0
22.12.2023,04,11,0
23.12.2023,04,12,0
24.12.2023,04,10,0
25.12.2023,04,10,0
26.12.2023,04,11,0
27.12.2023,04,11,0
28.12.2023,04,11,0
29.12.2023,04,11,0
30.12.2023,04,11,0
31.12.2023,04,11,0
01.01.2023,05,14,0
02.01.2023,05,13,0
03.01.2023,05,13,0
04.01.2023,05,11,0
05.01.2023,05,11,0
06.01.2023,05,10,0
07.01.2023,05,10,0
08.01.2023,05,13,0
09.01.2023,05,14,0
10.01.2023,05,11,0
11.01.2023,05,10,0
12.01.2023,05,11,0
13.01.2023,05,10,0
14.01.2023,05,11,0
18.01.2023,05,8,0
19.01.2023,05,6,0
20.01.2023,05,8,0
21.01.2023,05,6,0
22.01.2023,05,4,0
23.01.2023,05,5,0
24.01.2023,05,6,0
25.01.2023,05,7,0
26.01.2023,05,6,0
27.01.2023,05,6,0
28.01.2023,05,7,0
29.01.2023,05,7,0
30.01.2023,05,5,0
31.01.2023,05,6,0
01.02.2023,05,8,0
02.02.2023,05,8,0
03.02.2023,05,9,0
04.02.2023,05,9,0
05.02.2023,05,10,0
06.02.2023,05,10,0.1
07.02.2023,05,8,0
08.02.2023,05,10,0.1
09.02.2023,05,8,0
10.02.2023,05,7,0
11.02.2023,05,7,0
12.02.2023,05,7,0
13.02.2023,05,8,0
14.02.2023,05,9,0
15.02.2023,05,9,0
16.02.2023,05,10,0
17.02.2023,05,10,0
18.02.2023,05,11,0
19.02.2023,05,12,0
20.02.2023,05,13,0
21.02.2023,05,12,0
22.02.2023,05,12,0
23.02.2023,05,11,0
24.02.2023,05,12,0.2
25.02.2023,05,11,0
26.02.2023,05,10,0
27.02.2023,05,3,0.2
28.02.2023,05,6,0
01.03.2023,05,7,0
02.03.2023,05,9,0
03.03.2023,05,9,0
04.03.2023,05,9,0
05.03.2023,05,9,0
06.03.2023,05,11,0
07.03.2023,05,10,0
08.03.2023,05,11,0
09.03.2023,05,15,0
10.03.2023,05,15,0
11.03.2023,05,15,0
12.03.2023,05,15,0
13.03.2023,05,15,0
14.03.2023,05,15,0
15.03.2023,05,13,0
16.03.2023,05,12,0
17.03.2023,05,12,0
18.03.2023,05,12,0
19.03.2023,05,12,0
20.03.2023,05,13,0
21.03.2023,05,12,0
22.03.2023,05,13,0
23.03.2023,05,14,0
24.03.2023,05,14,0
25.03.2023,05,13,0
26.03.2023,05,14,0
27.03.2023,05,14,0
28.03.2023,05,13,0
29.03.2023,05,13,0
30.03.2023,05,14,0
31.03.2023,05,15,0
01.04.2023,05,14,0.1
02.04.2023,05,12,0
03.04.2023,05,13,0
04.04.2023,05,12,0
05.04.2023,05,11,0
06.04.2023,05,13,0
07.04.2023,05,13,0
08.04.2023,05,14,0
09.04.2023,05,13,0
10.04.2023,05,15,0
11.04.2023,05,15,0
12.04.2023,05,15,0
13.04.2023,05,12,0.4
14.04.2023,05,11,0
15.04.2023,05,14,0
16.04.2023,05,14,0
17.04.2023,05,13,0
18.04.2023,05,14,0
19.04.2023,05,14,0
20.04.2023,05,14,0
21.04.2023,05,15,0
22.04.2023,05,15,0
23.04.2023,05,15,0
24.04.2023,05,15,0
25.04.2023,05,15,0
26.04.2023,05,15,0
27.04.2023,05,17,0
28.04.2023,05,17,0
29.04.2023,05,19,0
30.04.2023,05,18,0
01.05.2023,05,17,0
02.05.2023,05,16,0
03.05.2023,05,17,0
04.05.2023,05,17,0
05.05.2023,05,17,0
06.05.2023,05,18,0
07.05.2023,05,18,0
08.05.2023,05,18,0.1
09.05.2023,05,19,0
10.05.2023,05,17,0.1
11.05.2023,05,16,0
12.05.2023,05,14,0.1
13.05.2023,05,13,0
14.05.2023,05,16,0
15.05.2023,05,16,0
16.05.2023,05,17,0
17.05.2023,05,16,0.3
18.05.2023,05,16,0
19.05.2023,05,15,0.1
20.05.2023,05,16,0
21.05.2023,05,17,0
22.05.2023,05,17,0
23.05.2023,05,17,0
24.05.2023,05,18,0
25.05.2023,05,17,0.5
26.05.2023,05,16,0
27.05.2023,05,19,0
28.05.2023,05,20,0
29.05.2023,05,20,0
30.05.2023,05,19,0
31.05.2023,05,19,0
01.06.2023,05,20,0
02.06.2023,05,19,0
03.06.2023,05,20,0
04.06.2023,05,19,0
05.06.2023,05,20,0
06.06.2023,05,21,0
07.06.2023,05,21,0
08.06.2023,05,21,0
09.06.2023,05,21,0
10.06.2023,05,22,0
11.06.2023,05,22,0
12.06.2023,05,22,0
13.06.2023,05,22,0
14.06.2023,05,21,0
15.06.2023,05,23,0
16.06.2023,05,23,0
17.06.2023,05,24,0
18.06.2023,05,25,0
19.06.2023,05,23,0
20.06.2023,05,22,0
21.06.2023,05,23,0
22.06.2023,05,24,0
23.06.2023,05,24,0
24.06.2023,05,24,0
25.06.2023,05,25,0
26.06.2023,05,26,0
27.06.2023,05,24,0
28.06.2023,05,24,0
29.06.2023,05,25,0
30.06.2023,05,21,0.5
01.07.2023,05,21,0
02.07.2023,05,23,0
03.07.2023,05,23,0
04.07.2023,05,24,0
05.07.2023,05,24,0
06.07.2023,05,23,0
07.07.2023,05,24,0
08.07.2023,05,24,0
09.07.2023,05,24,0
10.07.2023,05,24,0
11.07.2023,05,25,0
12.07.2023,05,25,0
13.07.2023,05,25,0
14.07.2023,05,25,0
15.07.2023,05,25,0
16.07.2023,05,24,0
17.07.2023,05,24,0
18.07.2023,05,25,0
19.07.2023,05,25,0
20.07.2023,05,26,0
21.07.2023,05,25,0
22.07.2023,05,25,0
23.07.2023,05,25,0
24.07.2023,05,26,0
25.07.2023,05,26,0
26.07.2023,05,23,0
27.07.2023,05,24,0
28.07.2023,05,25,0
01.08.2023,05,25,0
02.08.2023,05,25,0
03.08.2023,05,26,0
04.08.2023,05,23,1.1
05.08.2023,05,22,0
06.08.2023,05,23,0
07.08.2023,05,24,0
08.08.2023,05,24,0
09.08.2023,05,24,0
10.08.2023,05,25,0
11.08.2023,05,27,0
12.08.2023,05,27,0
13.08.2023,05,25,0
14.08.2023,05,26,0
15.08.2023,05,26,0
16.08.2023,05,26,0
17.08.2023,05,25,0
18.08.2023,05,25,0
19.08.2023,05,25,0
20.08.2023,05,27,0
21.08.2023,05,29,0
22.08.2023,05,28,0
23.08.2023,05,30,0
24.08.2023,05,29,0
25.08.2023,05,28,0
26.08.2023,05,26,0
27.08.2023,05,24,1.3
28.08.2023,05,20,0
29.08.2023,05,24,0
30.08.2023,05,22,0
31.08.2023,05,23,0.1
01.09.2023,05,24,0
02.09.2023,05,24,0
05.09.2023,05,25,0
06.09.2023,05,24,0
07.09.2023,05,23,0
08.09.2023,05,23,0
09.09.2023,05,23,0
10.09.2023,05,23,0
11.09.2023,05,23,0.6
12.09.2023,05,25,0
13.09.2023,05,23,1.3
14.09.2023,05,23,0
15.09.2023,05,24,0
16.09.2023,05,22,0.6
17.09.2023,05,24,0
18.09.2023,05,23,1.6
19.09.2023,05,24,0
20.09.2023,05,22,0.2
21.09.2023,05,22,0
22.09.2023,05,23,0
23.09.2023,05,19,0.6
24.09.2023,05,21,0
25.09.2023,05,22,0
26.09.2023,05,22,0
27.09.2023,05,23,0
28.09.2023,05,23,0
29.09.2023,05,23,0
30.09.2023,05,25,0
01.10.2023,05,25,0
02.10.2023,05,23,0
03.10.2023,05,23,0
04.10.2023,05,23,0
05.10.2023,05,23,0
06.10.2023,05,23,0
07.10.2023,05,23,0
08.10.2023,05,23,0
09.10.2023,05,22,0
10.10.2023,05,22,0
11.10.2023,05,22,0
12.10.2023,05,21,0
13.10.2023,05,22,0
14.10.2023,05,22,0
15.10.2023,05,23,0
16.10.2023,05,20,0.8
17.10.2023,05,19,0
18.10.2023,05,21,0
19.10.2023,05,23,0
20.10.2023,05,18,0.8
21.10.2023,05,18,0
22.10.2023,05,17,0
23.10.2023,05,21,0.3
24.10.2023,05,18,0.7
25.10.2023,05,18,0
26.10.2023,05,21,0
27.10.2023,05,20,0
28.10.2023,05,18,0
29.10.2023,05,20,0
30.10.2023,05,19,0
31.10.2023,05,16,0
01.11.2023,05,17,0
02.11.2023,05,19,0
03.11.2023,05,13,0
04.11.2023,05,15,0
05.11.2023,05,16,0
06.11.2023,05,15,0
07.11.2023,05,14,0.1
08.11.2023,05,12,0
09.11.2023,05,15,0
10.11.2023,05,15,0
11.11.2023,05,15,0
12.11.2023,05,17,0
13.11.2023,05,17,0
14.11.2023,05,18,0
15.11.2023,05,18,0
16.11.2023,05,16,0
17.11.2023,05,17,0
18.11.2023,05,16,0
19.11.2023,05,16,0
20.11.2023,05,16,0
21.11.2023,05,15,0.4
22.11.2023,05,13,0
23.11.2023,05,11,0
24.11.2023,05,11,0
25.11.2023,05,13,0
26.11.2023,05,12,0.3
27.11.2023,05,12,0
28.11.2023,05,12,0
29.11.2023,05,14,0.1
30.11.2023,05,15,0
01.12.2023,05,17,0
02.12.2023,05,11,0
03.12.2023,05,10,0.1
